Capacity    463
Name    Weight  Value
item1   88  97   
item1   113 7   
item1   116 78   
item1   12  53   
item1   148 46   
item1   102 66   
item1   45  61   
item1   84  41   
item1   52  59   
item1   48  17   
item1   149 91   
item1   3   93   
item1   39  16   
item1   7   55   
item1   144 54   
item1   85  84   
item1   44  66   
item1   59  95   
item1   100 15   
item1   109 51   
item1   85  3   
item1   55  56   
item1   107 58   
item1   84  67   
item1   94  31   
item1   99  53   
item1   102 74   
item1   25  52   
item1   142 68   
item1   146 83   
